1, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
56, icy, minecraft:snowy_plains, CREATURE, cnb:yeti, 5, 2, 3
57, icy, minecraft:snowy_plains, CREATURE, ecologics:penguin, 5, 4, 5
58, icy, minecraft:snowy_plains, CREATURE, ars_nouveau:starbuncle, 5, 1, 2
59, icy, minecraft:snowy_plains, CREATURE, snuffles:snuffle, 5, 4, 4
60, icy, minecraft:snowy_plains, CREATURE, ars_nouveau:gift_starby, 5, 1, 1
61, icy, minecraft:snowy_plains, CREATURE, ars_nouveau:whirlisprig, 5, 1, 2
62, icy, minecraft:snowy_plains, AMBIENT, minecraft:bat, 10, 8, 8
63, icy, minecraft:snowy_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
64, none, minecraft:ice_spikes, MONSTER, minecraft:spider, 80, 4, 4
65, none, minecraft:ice_spikes, MONSTER, minecraft:zombie, 80, 4, 4
66, none, minecraft:ice_spikes, MONSTER, minecraft:zombie_villager, 5, 1, 1
67, none, minecraft:ice_spikes, MONSTER, minecraft:skeleton, 20, 4, 4
68, none, minecraft:ice_spikes, MONSTER, minecraft:slime, 80, 4, 4
69, none, minecraft:ice_spikes, MONSTER, minecraft:enderman, 5, 1, 4
70, none, minecraft:ice_spikes, MONSTER, minecraft:witch, 5, 1, 1
71, none, minecraft:ice_spikes, MONSTER, minecraft:stray, 80, 4, 4
72, none, minecraft:ice_spikes, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
73, none, minecraft:ice_spikes, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
74, none, minecraft:ice_spikes, CREATURE, minecraft:rabbit, 10, 2, 3
75, none, minecraft:ice_spikes, CREATURE, minecraft:polar_bear, 5, 1, 2
76, none, minecraft:ice_spikes, CREATURE, finsandtails:wherble, 5, 2, 6
77, none, minecraft:ice_spikes, CREATURE, ars_nouveau:drygmy, 5, 1, 2
78, none, minecraft:ice_spikes, CREATURE, cnb:yeti, 5, 2, 3
79, none, minecraft:ice_spikes, CREATURE, ars_nouveau:starbuncle, 5, 1, 2
80, none, minecraft:ice_spikes, CREATURE, snuffles:snuffle, 5, 4, 4
81, none, minecraft:ice_spikes, CREATURE, ars_nouveau:gift_starby, 5, 1, 1
82, none, minecraft:ice_spikes, CREATURE, ars_nouveau:whirlisprig, 5, 1, 2
83, none, minecraft:ice_spikes, AMBIENT, minecraft:bat, 10, 8, 8
84, none, minecraft:ice_spikes, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
85, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
86, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
87, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 5, 1, 1
88, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
89, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
90, desert, minecraft:desert, MONSTER, minecraft:enderman, 5, 1, 4
91, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
92, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
93, desert, minecraft:desert, MONSTER, creeperoverhaul:desert_creeper, 75, 2, 2
94, desert, minecraft:desert, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
95, desert, minecraft:desert, CREATURE, minecraft:rabbit, 5, 2, 3
96, desert, minecraft:desert, CREATURE, cnb:cactem, 5, 6, 12
97, desert, minecraft:desert, CREATURE, friendsandfoes:mauler, 8, 1, 1
98, desert, minecraft:desert, CREATURE, ars_nouveau:drygmy, 5, 1, 2
99, desert, minecraft:desert, CREATURE, cnb:lizard, 15, 1, 4
100, desert, minecraft:desert, CREATURE, ars_nouveau:starbuncle, 5, 1, 2
101, desert, minecraft:desert, CREATURE, ecologics:camel, 5, 1, 1
102, desert, minecraft:desert, CREATURE, ars_nouveau:gift_starby, 5, 1, 1
103, desert, minecraft:desert, CREATURE, ars_nouveau:whirlisprig, 5, 1, 2
104, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
105, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
106, swamp, minecraft:swamp, MONSTER, minecraft:spider, 80, 4, 4
107, swamp, minecraft:swamp, MONSTER, minecraft:zombie, 80, 4, 4
108, swamp, minecraft:swamp, MONSTER, minecraft:zombie_villager, 5, 1, 1
109, swamp, minecraft:swamp, MONSTER, minecraft:skeleton, 80, 4, 4
110, swamp, minecraft:swamp, MONSTER, minecraft:slime, 80, 4, 4
111, swamp, minecraft:swamp, MONSTER, minecraft:enderman, 5, 1, 4
112, swamp, minecraft:swamp, MONSTER, minecraft:witch, 5, 1, 1
113, swamp, minecraft:swamp, MONSTER, minecraft:slime, 5, 1, 1
114, swamp, minecraft:swamp, MONSTER, creeperoverhaul:swamp_creeper, 75, 2, 2
115, swamp, minecraft:swamp, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
116, swamp, minecraft:swamp, CREATURE, minecraft:frog, 10, 2, 5
117, swamp, minecraft:swamp, CREATURE, finsandtails:mudhorse, 5, 2, 3
118, swamp, minecraft:swamp, CREATURE, swampier_swamps:dragonfly, 15, 3, 6
119, swamp, minecraft:swamp, CREATURE, environmental:duck, 10, 3, 4
120, swamp, minecraft:swamp, CREATURE, cnb:minipad, 20, 3, 6
121, swamp, minecraft:swamp, CREATURE, cnb:lilytad, 45, 1, 1
122, swamp, minecraft:swamp, CREATURE, ars_nouveau:drygmy, 5, 1, 2
123, swamp, minecraft:swamp, CREATURE, ars_nouveau:starbuncle, 5, 1, 2
124, swamp, minecraft:swamp, CREATURE, environmental:slabfish, 16, 2, 4
125, swamp, minecraft:swamp, CREATURE, ars_nouveau:gift_starby, 5, 1, 1
126, swamp, minecraft:swamp, CREATURE, ars_nouveau:whirlisprig, 5, 1, 2
127, swamp, minecraft:swamp, CREATURE, cnb:sporeling, 25, 3, 5
128, swamp, minecraft:swamp, AMBIENT, minecraft:bat, 10, 8, 8
129, swamp, minecraft:swamp, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
130, swamp, minecraft:swamp, WATER_CREATURE, minecraft:squid, 5, 1, 2
131, swamp, minecraft:swamp, WATER_AMBIENT, finsandtails:swamp_mucker, 5, 2, 4
132, swamp, minecraft:swamp, WATER_AMBIENT, finsandtails:flatback_sucker, 5, 1, 1
133, swamp, minecraft:swamp, WATER_AMBIENT, upgrade_aquatic:perch, 5, 1, 6
134, swamp, minecraft:swamp, WATER_AMBIENT, upgrade_aquatic:pike, 10, 1, 2
135, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:spider, 80, 4, 4
136, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:zombie, 80, 4, 4
137, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:zombie_villager, 5, 1, 1
138, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:skeleton, 80, 4, 4
139, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:slime, 80, 4, 4
140, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:enderman, 5, 1, 4
141, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:witch, 5, 1, 1
142, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:slime, 5, 1, 1
143, swamp, minecraft:mangrove_swamp, MONSTER, creeperoverhaul:swamp_creeper, 75, 2, 2
144, swamp, minecraft:mangrove_swamp, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
145, swamp, minecraft:mangrove_swamp, CREATURE, minecraft:frog, 10, 2, 5
146, swamp, minecraft:mangrove_swamp, CREATURE, finsandtails:mudhorse, 5, 2, 3
147, swamp, minecraft:mangrove_swamp, CREATURE, environmental:duck, 10, 3, 4
148, swamp, minecraft:mangrove_swamp, CREATURE, ars_nouveau:drygmy, 5, 1, 2
149, swamp, minecraft:mangrove_swamp, CREATURE, ars_nouveau:starbuncle, 5, 1, 2
150, swamp, minecraft:mangrove_swamp, CREATURE, environmental:slabfish, 16, 2, 4
151, swamp, minecraft:mangrove_swamp, CREATURE, ars_nouveau:gift_starby, 5, 1, 1
152, swamp, minecraft:mangrove_swamp, CREATURE, ars_nouveau:whirlisprig, 5, 1, 2
153, swamp, minecraft:mangrove_swamp, AMBIENT, minecraft:bat, 10, 8, 8
154, swamp, minecraft:mangrove_swamp, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
155, swamp, minecraft:mangrove_swamp, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
156, swamp, minecraft:mangrove_swamp, WATER_AMBIENT, finsandtails:swamp_mucker, 5, 2, 4
157, swamp, minecraft:mangrove_swamp, WATER_AMBIENT, finsandtails:flatback_sucker, 5, 1, 1
158, forest, minecraft:forest, MONSTER, minecraft:spider, 80, 4, 4
159, forest, minecraft:forest, MONSTER, minecraft:zombie, 80, 4, 4
160, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
161, forest, minecraft:forest, MONSTER, minecraft:skeleton, 80, 4, 4
162, forest, minecraft:forest, MONSTER, minecraft:creeper, 80, 4, 4
163, forest, minecraft:forest, MONSTER, minecraft:slime, 80, 4, 4
164, forest, minecraft:forest, MONSTER, minecraft:enderman, 5, 1, 4
165, forest, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
166, forest, minecraft:forest, CREATURE, minecraft:pig, 10, 8, 8
167, forest, minecraft:forest, CREATURE, minecraft:chicken, 10, 8, 8
168, forest, minecraft:forest, CREATURE, minecraft:wolf, 5, 4, 4
169, forest, minecraft:forest, CREATURE, finsandtails:flatback_leaf_snail, 6, 1, 2
170, forest, minecraft:forest, CREATURE, crittersandcompanions:leaf_insect, 12, 1, 1
171, forest, minecraft:forest, CREATURE, crittersandcompanions:ferret, 5, 2, 3
172, forest, minecraft:forest, CREATURE, balloonbox:balloon, 5, 1, 1
173, forest, minecraft:forest, CREATURE, ars_nouveau:drygmy, 5, 1, 2
174, forest, minecraft:forest, CREATURE, environmental:deer, 16, 4, 4
175, forest, minecraft:forest, CREATURE, ars_nouveau:starbuncle, 5, 1, 2
176, forest, minecraft:forest, CREATURE, hexerei:crow, 20, 2, 5
177, forest, minecraft:forest, CREATURE, ars_nouveau:gift_starby, 5, 1, 1
178, forest, minecraft:forest, CREATURE, ars_nouveau:whirlisprig, 5, 1, 2
179, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
180, forest, minecraft:forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
181, forest, minecraft:flower_forest, MONSTER, minecraft:spider, 80, 4, 4
182, forest, minecraft:flower_forest, MONSTER, minecraft:zombie, 80, 4, 4
183, forest, minecraft:flower_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
184, forest, minecraft:flower_forest, MONSTER, minecraft:skeleton, 80, 4, 4
185, forest, minecraft:flower_forest, MONSTER, minecraft:creeper, 80, 4, 4
186, forest, minecraft:flower_forest, MONSTER, minecraft:slime, 80, 4, 4
187, forest, minecraft:flower_forest, MONSTER, minecraft:enderman, 5, 1, 4
188, forest, minecraft:flower_forest, MONSTER, minecraft:witch, 5, 1, 1
189, forest, minecraft:flower_forest, CREATURE, minecraft:pig, 10, 8, 8
190, forest, minecraft:flower_forest, CREATURE, minecraft:chicken, 10, 8, 8
191, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 5, 2, 3
192, forest, minecraft:flower_forest, CREATURE, finsandtails:flatback_leaf_snail, 6, 1, 2
193, forest, minecraft:flower_forest, CREATURE, crittersandcompanions:leaf_insect, 12, 1, 1
194, forest, minecraft:flower_forest, CREATURE, crittersandcompanions:ferret, 5, 2, 3
195, forest, minecraft:flower_forest, CREATURE, balloonbox:balloon, 5, 1, 1
196, forest, minecraft:flower_forest, CREATURE, ars_nouveau:drygmy, 5, 1, 2
197, forest, minecraft:flower_forest, CREATURE, environmental:deer, 16, 4, 4
198, forest, minecraft:flower_forest, CREATURE, ars_nouveau:starbuncle, 5, 1, 2
199, forest, minecraft:flower_forest, CREATURE, hexerei:crow, 20, 2, 5
200, forest, minecraft:flower_forest, CREATURE, ars_nouveau:gift_starby, 5, 1, 1
201, forest, minecraft:flower_forest, CREATURE, friendsandfoes:moobloom, 32, 2, 4
202, forest, minecraft:flower_forest, CREATURE, ars_nouveau:whirlisprig, 5, 1, 2
203, forest, minecraft:flower_forest, AMBIENT, minecraft:bat, 10, 8, 8
204, forest, minecraft:flower_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
205, forest, minecraft:birch_forest, MONSTER, minecraft:spider, 80, 4, 4
206, forest, minecraft:birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
207, forest, minecraft:birch_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
208, forest, minecraft:birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
209, forest, minecraft:birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
210, forest, minecraft:birch_forest, MONSTER, minecraft:slime, 80, 4, 4
211, forest, minecraft:birch_forest, MONSTER, minecraft:enderman, 5, 1, 4
212, forest, minecraft:birch_forest, MONSTER, minecraft:witch, 5, 1, 1
213, forest, minecraft:birch_forest, CREATURE, minecraft:pig, 10, 4, 4
214, forest, minecraft:birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
215, forest, minecraft:birch_forest, CREATURE, finsandtails:flatback_leaf_snail, 6, 1, 2
216, forest, minecraft:birch_forest, CREATURE, crittersandcompanions:leaf_insect, 12, 1, 1
217, forest, minecraft:birch_forest, CREATURE, crittersandcompanions:ferret, 5, 2, 3
218, forest, minecraft:birch_forest, CREATURE, balloonbox:balloon, 5, 1, 1
219, forest, minecraft:birch_forest, CREATURE, ars_nouveau:drygmy, 5, 1, 2
220, forest, minecraft:birch_forest, CREATURE, environmental:deer, 16, 4, 4
221, forest, minecraft:birch_forest, CREATURE, ars_nouveau:starbuncle, 5, 1, 2
222, forest, minecraft:birch_forest, CREATURE, hexerei:crow, 20, 2, 5
223, forest, minecraft:birch_forest, CREATURE, ars_nouveau:gift_starby, 5, 1, 1
224, forest, minecraft:birch_forest, CREATURE, ars_nouveau:whirlisprig, 5, 1, 2
225, forest, minecraft:birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
226, forest, minecraft:birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
227, forest, minecraft:dark_forest, MONSTER, minecraft:spider, 80, 4, 4
228, forest, minecraft:dark_forest, MONSTER, minecraft:zombie, 80, 4, 4
229, forest, minecraft:dark_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
230, forest, minecraft:dark_forest, MONSTER, minecraft:skeleton, 80, 4, 4
231, forest, minecraft:dark_forest, MONSTER, minecraft:creeper, 80, 4, 4
232, forest, minecraft:dark_forest, MONSTER, minecraft:slime, 80, 4, 4
233, forest, minecraft:dark_forest, MONSTER, minecraft:enderman, 5, 1, 4
234, forest, minecraft:dark_forest, MONSTER, minecraft:witch, 5, 1, 1
235, forest, minecraft:dark_forest, MONSTER, creeperoverhaul:dark_oak_creeper, 75, 2, 2
236, forest, minecraft:dark_forest, CREATURE, minecraft:pig, 10, 4, 4
237, forest, minecraft:dark_forest, CREATURE, minecraft:chicken, 10, 4, 4
238, forest, minecraft:dark_forest, CREATURE, finsandtails:flatback_leaf_snail, 6, 1, 2
239, forest, minecraft:dark_forest, CREATURE, crittersandcompanions:leaf_insect, 12, 1, 1
240, forest, minecraft:dark_forest, CREATURE, crittersandcompanions:ferret, 5, 2, 3
241, forest, minecraft:dark_forest, CREATURE, balloonbox:balloon, 5, 1, 1
242, forest, minecraft:dark_forest, CREATURE, ars_nouveau:drygmy, 5, 1, 2
243, forest, minecraft:dark_forest, CREATURE, environmental:deer, 16, 4, 4
244, forest, minecraft:dark_forest, CREATURE, ars_nouveau:starbuncle, 5, 1, 2
245, forest, minecraft:dark_forest, CREATURE, hexerei:crow, 20, 2, 5
246, forest, minecraft:dark_forest, CREATURE, ars_nouveau:gift_starby, 5, 1, 1
247, forest, minecraft:dark_forest, CREATURE, ars_nouveau:whirlisprig, 5, 1, 2
248, forest, minecraft:dark_forest, CREATURE, cnb:sporeling, 70, 3, 5
249, forest, minecraft:dark_forest, AMBIENT, minecraft:bat, 10, 8, 8
250, forest, minecraft:dark_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
251, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:spider, 80, 4, 4
252, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
253, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
254, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
255, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
256, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:slime, 80, 4, 4
257, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:enderman, 5, 1, 4
258, forest, minecraft:old_growth_birch_forest, MONSTER, minecraft:witch, 5, 1, 1
259, forest, minecraft:old_growth_birch_forest, CREATURE, minecraft:pig, 10, 4, 4
260, forest, minecraft:old_growth_birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
261, forest, minecraft:old_growth_birch_forest, CREATURE, finsandtails:flatback_leaf_snail, 6, 1, 2
262, forest, minecraft:old_growth_birch_forest, CREATURE, crittersandcompanions:leaf_insect, 12, 1, 1
263, forest, minecraft:old_growth_birch_forest, CREATURE, crittersandcompanions:ferret, 5, 2, 3
264, forest, minecraft:old_growth_birch_forest, CREATURE, balloonbox:balloon, 5, 1, 1
265, forest, minecraft:old_growth_birch_forest, CREATURE, ars_nouveau:drygmy, 5, 1, 2
266, forest, minecraft:old_growth_birch_forest, CREATURE, environmental:deer, 16, 4, 4
267, forest, minecraft:old_growth_birch_forest, CREATURE, ars_nouveau:starbuncle, 5, 1, 2
268, forest, minecraft:old_growth_birch_forest, CREATURE, hexerei:crow, 20, 2, 5
269, forest, minecraft:old_growth_birch_forest, CREATURE, ars_nouveau:gift_starby, 5, 1, 1
270, forest, minecraft:old_growth_birch_forest, CREATURE, ars_nouveau:whirlisprig, 5, 1, 2
271, forest, minecraft:old_growth_birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
272, forest, minecraft:old_growth_birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
273, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:spider, 80, 4, 4
274, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:zombie, 80, 4, 4
275, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:zombie_villager, 25, 1, 1
276, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:skeleton, 80, 4, 4
277, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:slime, 80, 4, 4
278, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:enderman, 5, 1, 4
279, taiga, minecraft:old_growth_pine_taiga, MONSTER, minecraft:witch, 5, 1, 1
280, taiga, minecraft:old_growth_pine_taiga, MONSTER, creeperoverhaul:spruce_creeper, 75, 2, 2
281, taiga, minecraft:old_growth_pine_taiga, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
282, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:wolf, 8, 4, 4
283, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:rabbit, 5, 2, 3
284, taiga, minecraft:old_growth_pine_taiga, CREATURE, minecraft:fox, 8, 2, 4
285, taiga, minecraft:old_growth_pine_taiga, CREATURE, finsandtails:wherble, 5, 2, 6
286, taiga, minecraft:old_growth_pine_taiga, CREATURE, balloonbox:balloon, 5, 1, 1
287, taiga, minecraft:old_growth_pine_taiga, CREATURE, ars_nouveau:drygmy, 5, 1, 2
288, taiga, minecraft:old_growth_pine_taiga, CREATURE, ars_nouveau:starbuncle, 5, 1, 2
289, taiga, minecraft:old_growth_pine_taiga, CREATURE, ars_nouveau:gift_starby, 5, 1, 1
290, taiga, minecraft:old_growth_pine_taiga, CREATURE, ars_nouveau:whirlisprig, 5, 1, 2
291, taiga, minecraft:old_growth_pine_taiga, AMBIENT, minecraft:bat, 10, 8, 8
292, taiga, minecraft:old_growth_pine_taiga, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
293, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:spider, 80, 4, 4
294, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:zombie, 80, 4, 4
295, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:zombie_villager, 5, 1, 1
296, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:skeleton, 80, 4, 4
297, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:slime, 80, 4, 4
298, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:enderman, 5, 1, 4
299, taiga, minecraft:old_growth_spruce_taiga, MONSTER, minecraft:witch, 5, 1, 1
300, taiga, minecraft:old_growth_spruce_taiga, MONSTER, creeperoverhaul:spruce_creeper, 75, 2, 2
301, taiga, minecraft:old_growth_spruce_taiga, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
302, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:wolf, 8, 4, 4
303, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:rabbit, 5, 2, 3
304, taiga, minecraft:old_growth_spruce_taiga, CREATURE, minecraft:fox, 8, 2, 4
305, taiga, minecraft:old_growth_spruce_taiga, CREATURE, balloonbox:balloon, 5, 1, 1
306, taiga, minecraft:old_growth_spruce_taiga, CREATURE, ars_nouveau:drygmy, 5, 1, 2
307, taiga, minecraft:old_growth_spruce_taiga, CREATURE, ars_nouveau:starbuncle, 5, 1, 2
308, taiga, minecraft:old_growth_spruce_taiga, CREATURE, ars_nouveau:gift_starby, 5, 1, 1
309, taiga, minecraft:old_growth_spruce_taiga, CREATURE, ars_nouveau:whirlisprig, 5, 1, 2
310, taiga, minecraft:old_growth_spruce_taiga, AMBIENT, minecraft:bat, 10, 8, 8
311, taiga, minecraft:old_growth_spruce_taiga, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
312, taiga, minecraft:taiga, MONSTER, minecraft:spider, 80, 4, 4
313, taiga, minecraft:taiga, MONSTER, minecraft:zombie, 80, 4, 4
314, taiga, minecraft:taiga, MONSTER, minecraft:zombie_villager, 5, 1, 1
315, taiga, minecraft:taiga, MONSTER, minecraft:skeleton, 80, 4, 4
316, taiga, minecraft:taiga, MONSTER, minecraft:slime, 80, 4, 4
317, taiga, minecraft:taiga, MONSTER, minecraft:enderman, 5, 1, 4
318, taiga, minecraft:taiga, MONSTER, minecraft:witch, 5, 1, 1
319, taiga, minecraft:taiga, MONSTER, creeperoverhaul:spruce_creeper, 75, 2, 2
320, taiga, minecraft:taiga, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
321, taiga, minecraft:taiga, CREATURE, minecraft:wolf, 8, 4, 4
