1, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
38, minecraft:village_taiga, CREATURE, mythicmounts:firebird, 10, 1, 1
39, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
40, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
41, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
42, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
43, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
44, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
45, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
46, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
47, twilightforest:hedge_maze, HEADING, header:ignore, 0, 0, 0
48, twilightforest:quest_grove, HEADING, header:ignore, 0, 0, 0
49, twilightforest:mushroom_tower, HEADING, header:ignore, 0, 0, 0
50, twilightforest:small_hollow_hill, HEADING, header:ignore, 0, 0, 0
51, twilightforest:medium_hollow_hill, HEADING, header:ignore, 0, 0, 0
52, twilightforest:large_hollow_hill, HEADING, header:ignore, 0, 0, 0
53, twilightforest:naga_courtyard, HEADING, header:ignore, 0, 0, 0
54, twilightforest:lich_tower, HEADING, header:ignore, 0, 0, 0
55, twilightforest:labyrinth, HEADING, header:ignore, 0, 0, 0
56, twilightforest:hydra_lair, HEADING, header:ignore, 0, 0, 0
57, twilightforest:knight_stronghold, HEADING, header:ignore, 0, 0, 0
58, twilightforest:dark_tower, HEADING, header:ignore, 0, 0, 0
59, twilightforest:yeti_cave, HEADING, header:ignore, 0, 0, 0
60, twilightforest:aurora_palace, HEADING, header:ignore, 0, 0, 0
61, twilightforest:troll_cave, HEADING, header:ignore, 0, 0, 0
62, twilightforest:final_castle, HEADING, header:ignore, 0, 0, 0
63, infernalexp:glowstone_canyon_ruin, HEADING, header:ignore, 0, 0, 0
64, infernalexp:soul_sand_valley_ruin, HEADING, header:ignore, 0, 0, 0
65, infernalexp:bastion_outpost, HEADING, header:ignore, 0, 0, 0
66, infernalexp:strider_altar, HEADING, header:ignore, 0, 0, 0
67, meadow:chapel, HEADING, header:ignore, 0, 0, 0
68, structory:old_manor, HEADING, header:ignore, 0, 0, 0
69, structory:dense_forest_ruin, HEADING, header:ignore, 0, 0, 0
70, structory:abandoned_chapel, HEADING, header:ignore, 0, 0, 0
71, structory:graveyard, HEADING, header:ignore, 0, 0, 0
72, structory:abandoned_camp, HEADING, header:ignore, 0, 0, 0
73, structory:outcast_villager_grassy, HEADING, header:ignore, 0, 0, 0
74, structory:ruin_grassy, HEADING, header:ignore, 0, 0, 0
75, structory:firetower, HEADING, header:ignore, 0, 0, 0
76, structory:outcast_villager_desert, HEADING, header:ignore, 0, 0, 0
77, structory:boat, HEADING, header:ignore, 0, 0, 0
78, hexerei:witch_hut, HEADING, header:ignore, 0, 0, 0
79, explorify:black_spiral, HEADING, header:ignore, 0, 0, 0
80, explorify:mangrove_hut, HEADING, header:ignore, 0, 0, 0
81, totw_reworked:jungle, HEADING, header:ignore, 0, 0, 0
82, explorify:dark_forest_settlement, HEADING, header:ignore, 0, 0, 0
83, explorify:mausoleum, HEADING, header:ignore, 0, 0, 0
84, bakery:bakery, HEADING, header:ignore, 0, 0, 0
85, bakery:bakery, CREATURE, minecraft:pig, 1, 1, 4
86, structory:swamp_ruin, HEADING, header:ignore, 0, 0, 0
87, incendium:sanctum, HEADING, header:ignore, 0, 0, 0
88, incendium:sanctum, MONSTER, minecraft:skeleton, 2, 1, 1
89, incendium:forbidden_castle, HEADING, header:ignore, 0, 0, 0
90, incendium:nether_reactor, HEADING, header:ignore, 0, 0, 0
91, totw_reworked:derelict_grass, HEADING, header:ignore, 0, 0, 0
92, friendsandfoes:iceologer_cabin, HEADING, header:ignore, 0, 0, 0
93, friendsandfoes:iceologer_cabin, MONSTER, minecraft:pig, 1, 1, 1
94, terralith:fortified_village, HEADING, header:ignore, 0, 0, 0
95, terralith:fortified_desert_village, HEADING, header:ignore, 0, 0, 0
96, netherdepthsupgrade:nether_fortress_piece, HEADING, header:ignore, 0, 0, 0
97, netherdepthsupgrade:nether_fortress_piece, WATER_AMBIENT, netherdepthsupgrade:blazefish, 10, 3, 4
98, betterwitchhuts:witch_hut, HEADING, header:ignore, 0, 0, 0
99, betterwitchhuts:witch_hut, MONSTER, minecraft:witch, 1, 1, 1
100, betterwitchhuts:witch_hut, CREATURE, minecraft:cat, 1, 1, 1
101, explorify:guide_post_cold, HEADING, header:ignore, 0, 0, 0
102, explorify:guide_post_warm, HEADING, header:ignore, 0, 0, 0
103, idas:ancient_portal/nether_ancient_portal, HEADING, header:ignore, 0, 0, 0
104, idas:ancient_portal/nether_ancient_portal, MONSTER, quark:wraith, 10, 1, 1
105, idas:necromancers_spire, HEADING, header:ignore, 0, 0, 0
106, idas:necromancers_spire, MONSTER, quark:wraith, 10, 1, 1
107, structory:jungle_ruin, HEADING, header:ignore, 0, 0, 0
108, structory:jungle_ruin, MONSTER, minecraft:creeper, 10, 4, 4
109, betterwitchhuts:witch_circle, HEADING, header:ignore, 0, 0, 0
110, betterwitchhuts:witch_circle, MONSTER, minecraft:witch, 1, 1, 1
111, betterwitchhuts:witch_circle, CREATURE, minecraft:cat, 1, 1, 1
112, supplementaries:way_sign, HEADING, header:ignore, 0, 0, 0
113, idas:underground_camp/underground_camp, HEADING, header:ignore, 0, 0, 0
114, idas:underground_camp/underground_camp_deep, HEADING, header:ignore, 0, 0, 0
115, betterdungeons:small_dungeon, HEADING, header:ignore, 0, 0, 0
116, totw_reworked:ice, HEADING, header:ignore, 0, 0, 0
117, biomemakeover:mansion, HEADING, header:ignore, 0, 0, 0
118, terralith:underground/frosted_dungeon, HEADING, header:ignore, 0, 0, 0
119, explorify:end_shipwreck, HEADING, header:ignore, 0, 0, 0
120, idas:cottage, HEADING, header:ignore, 0, 0, 0
121, idas:animal_den/forest_den, HEADING, header:ignore, 0, 0, 0
122, idas:animal_den/polar_bear_den, HEADING, header:ignore, 0, 0, 0
123, idas:lumber_camp/lumber_camp_oak, HEADING, header:ignore, 0, 0, 0
124, idas:lumber_camp/lumber_camp_spruce, HEADING, header:ignore, 0, 0, 0
125, idas:lumber_camp/lumber_camp_birch, HEADING, header:ignore, 0, 0, 0
126, idas:lumber_camp/lumber_camp_jungle, HEADING, header:ignore, 0, 0, 0
127, idas:lumber_camp/lumber_camp_acacia, HEADING, header:ignore, 0, 0, 0
128, idas:lumber_camp/lumber_camp_dark_oak, HEADING, header:ignore, 0, 0, 0
129, idas:lumber_camp/lumber_camp_bygredwood, HEADING, header:ignore, 0, 0, 0
130, idas:lumber_camp/lumber_camp_bopredwood, HEADING, header:ignore, 0, 0, 0
131, idas:lumber_camp/lumber_camp_bygmahogany, HEADING, header:ignore, 0, 0, 0
132, idas:lumber_camp/lumber_camp_bopmahogany, HEADING, header:ignore, 0, 0, 0
133, idas:desert_camp/desert_camp, HEADING, header:ignore, 0, 0, 0
134, idas:desert_camp/desert_camp_red, HEADING, header:ignore, 0, 0, 0
135, idas:desert_camp/desert_camp_orange, HEADING, header:ignore, 0, 0, 0
136, idas:desert_camp/desert_camp_bygwindswept, HEADING, header:ignore, 0, 0, 0
137, idas:sunken_ship/sunken_ship_ruins, HEADING, header:ignore, 0, 0, 0
138, idas:ancient_statue/ancient_statue_plains, HEADING, header:ignore, 0, 0, 0
139, idas:ancient_statue/ancient_statue_jungle, HEADING, header:ignore, 0, 0, 0
140, idas:ancient_statue/ancient_statue_desert, HEADING, header:ignore, 0, 0, 0
141, idas:washing_camp, HEADING, header:ignore, 0, 0, 0
142, idas:desert_market/desert_market, HEADING, header:ignore, 0, 0, 0
143, idas:desert_market/desert_market_red, HEADING, header:ignore, 0, 0, 0
144, idas:desert_market/desert_market_orange, HEADING, header:ignore, 0, 0, 0
145, idas:pillager_camp, HEADING, header:ignore, 0, 0, 0
146, meadow:chalet, HEADING, header:ignore, 0, 0, 0
147, betterdungeons:small_nether_dungeon, HEADING, header:ignore, 0, 0, 0
148, bettermineshafts:mineshaft_acacia, HEADING, header:ignore, 0, 0, 0
149, bettermineshafts:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
150, bettermineshafts:mineshaft_ice, HEADING, header:ignore, 0, 0, 0
151, bettermineshafts:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
152, bettermineshafts:mineshaft_lush, HEADING, header:ignore, 0, 0, 0
153, bettermineshafts:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
154, bettermineshafts:mineshaft_mushroom, HEADING, header:ignore, 0, 0, 0
155, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
156, bettermineshafts:mineshaft_red_desert, HEADING, header:ignore, 0, 0, 0
157, bettermineshafts:mineshaft_spruce, HEADING, header:ignore, 0, 0, 0
158, bettermineshafts:mineshaft_spruce_snowy, HEADING, header:ignore, 0, 0, 0
159, bettermineshafts:mineshaft_overgrown, HEADING, header:ignore, 0, 0, 0
160, bettermineshafts:mineshaft_dripstone, HEADING, header:ignore, 0, 0, 0
161, ctov:pillager_outpost_beach, HEADING, header:ignore, 0, 0, 0
162, ctov:pillager_outpost_beach, MONSTER, minecraft:pillager, 5, 1, 1
163, ctov:pillager_outpost_beach, MONSTER, minecraft:evoker, 1, 1, 1
164, ctov:pillager_outpost_beach, MONSTER, minecraft:vindicator, 2, 1, 1
165, ctov:pillager_outpost_beach, MONSTER, minecraft:witch, 2, 1, 1
166, ctov:pillager_outpost_dark_forest, HEADING, header:ignore, 0, 0, 0
167, ctov:pillager_outpost_dark_forest, MONSTER, minecraft:pillager, 5, 1, 1
168, ctov:pillager_outpost_dark_forest, MONSTER, minecraft:evoker, 1, 1, 1
169, ctov:pillager_outpost_dark_forest, MONSTER, minecraft:vindicator, 2, 1, 1
170, ctov:pillager_outpost_dark_forest, MONSTER, minecraft:witch, 2, 1, 1
171, ctov:pillager_outpost_desert, HEADING, header:ignore, 0, 0, 0
172, ctov:pillager_outpost_desert, MONSTER, minecraft:pillager, 5, 1, 1
173, ctov:pillager_outpost_desert, MONSTER, minecraft:evoker, 1, 1, 1
174, ctov:pillager_outpost_desert, MONSTER, minecraft:vindicator, 2, 1, 1
175, ctov:pillager_outpost_desert, MONSTER, minecraft:witch, 2, 1, 1
176, ctov:pillager_outpost_jungle, HEADING, header:ignore, 0, 0, 0
177, ctov:pillager_outpost_jungle, MONSTER, minecraft:pillager, 5, 1, 1
178, ctov:pillager_outpost_jungle, MONSTER, minecraft:evoker, 1, 1, 1
179, ctov:pillager_outpost_jungle, MONSTER, minecraft:vindicator, 2, 1, 1
180, ctov:pillager_outpost_jungle, MONSTER, minecraft:witch, 2, 1, 1
181, ctov:pillager_outpost_badlands, HEADING, header:ignore, 0, 0, 0
182, ctov:pillager_outpost_badlands, MONSTER, minecraft:pillager, 5, 1, 5
183, ctov:pillager_outpost_badlands, MONSTER, minecraft:evoker, 1, 1, 1
184, ctov:pillager_outpost_badlands, MONSTER, minecraft:vindicator, 2, 1, 3
185, ctov:pillager_outpost_badlands, MONSTER, minecraft:witch, 2, 1, 1
186, ctov:pillager_outpost_mountain, HEADING, header:ignore, 0, 0, 0
187, ctov:pillager_outpost_mountain, MONSTER, minecraft:pillager, 5, 1, 1
188, ctov:pillager_outpost_mountain, MONSTER, minecraft:evoker, 1, 1, 1
189, ctov:pillager_outpost_mountain, MONSTER, minecraft:vindicator, 2, 1, 1
190, ctov:pillager_outpost_mountain, MONSTER, minecraft:witch, 2, 1, 1
191, ctov:pillager_outpost_plains, HEADING, header:ignore, 0, 0, 0
192, ctov:pillager_outpost_plains, MONSTER, minecraft:pillager, 5, 1, 1
193, ctov:pillager_outpost_plains, MONSTER, minecraft:evoker, 1, 1, 1
194, ctov:pillager_outpost_plains, MONSTER, minecraft:vindicator, 2, 1, 1
195, ctov:pillager_outpost_plains, MONSTER, minecraft:witch, 2, 1, 1
196, ctov:pillager_outpost_savanna, HEADING, header:ignore, 0, 0, 0
197, ctov:pillager_outpost_savanna, MONSTER, minecraft:pillager, 5, 1, 1
198, ctov:pillager_outpost_savanna, MONSTER, minecraft:evoker, 1, 1, 1
199, ctov:pillager_outpost_savanna, MONSTER, minecraft:vindicator, 2, 1, 1
200, ctov:pillager_outpost_savanna, MONSTER, minecraft:witch, 2, 1, 1
201, ctov:pillager_outpost_snowy, HEADING, header:ignore, 0, 0, 0
202, ctov:pillager_outpost_snowy, MONSTER, minecraft:pillager, 5, 1, 1
203, ctov:pillager_outpost_snowy, MONSTER, minecraft:evoker, 1, 1, 1
204, ctov:pillager_outpost_snowy, MONSTER, minecraft:vindicator, 2, 1, 1
205, ctov:pillager_outpost_snowy, MONSTER, minecraft:witch, 2, 1, 1
206, ctov:pillager_outpost_swamp, HEADING, header:ignore, 0, 0, 0
207, ctov:pillager_outpost_swamp, MONSTER, minecraft:pillager, 5, 1, 1
208, ctov:pillager_outpost_swamp, MONSTER, minecraft:evoker, 1, 1, 1
209, ctov:pillager_outpost_swamp, MONSTER, minecraft:vindicator, 2, 1, 1
210, ctov:pillager_outpost_swamp, MONSTER, minecraft:witch, 2, 1, 1
211, ctov:pillager_outpost_taiga, HEADING, header:ignore, 0, 0, 0
212, ctov:pillager_outpost_taiga, MONSTER, minecraft:pillager, 5, 1, 1
213, ctov:pillager_outpost_taiga, MONSTER, minecraft:evoker, 1, 1, 1
214, ctov:pillager_outpost_taiga, MONSTER, minecraft:vindicator, 2, 1, 1
215, ctov:pillager_outpost_taiga, MONSTER, minecraft:witch, 2, 1, 1
216, betterdungeons:zombie_dungeon, HEADING, header:ignore, 0, 0, 0
217, betterdungeons:zombie_dungeon, MONSTER, minecraft:zombie, 30, 4, 12
218, beautify:botanist_house_taiga, HEADING, header:ignore, 0, 0, 0
219, explorify:campsite, HEADING, header:ignore, 0, 0, 0
220, biomemakeover:ghost_town, HEADING, header:ignore, 0, 0, 0
221, biomemakeover:ghost_town, MONSTER, biomemakeover:ghost, 8, 1, 1
222, hexerei:nature_coven, HEADING, header:ignore, 0, 0, 0
223, minecraft:village_meadow, HEADING, header:ignore, 0, 0, 0
224, minecraft:village_meadow, CREATURE, mythicmounts:firebird, 10, 1, 1
225, idas:animal_den/foxhound_den, HEADING, header:ignore, 0, 0, 0
226, idas:ancient_portal/ancient_portal, HEADING, header:ignore, 0, 0, 0
227, idas:ancient_portal/ancient_portal, MONSTER, minecraft:silverfish, 3, 1, 4
228, idas:ancient_portal/ancient_portal, MONSTER, quark:wraith, 3, 1, 4
229, idas:nexus, HEADING, header:ignore, 0, 0, 0
230, idas:nexus, MONSTER, minecraft:silverfish, 3, 1, 4
231, idas:nexus, MONSTER, quark:wraith, 3, 1, 4
232, idas:sunken_ship/sunken_ship, HEADING, header:ignore, 0, 0, 0
233, idas:sunken_ship/sunken_ship, MONSTER, quark:wraith, 5, 1, 2
234, idas:sunken_ship/sunken_ship_coral, HEADING, header:ignore, 0, 0, 0
235, idas:sunken_ship/sunken_ship_coral, MONSTER, quark:wraith, 5, 1, 2
236, totw_reworked:ocean_warm, HEADING, header:ignore, 0, 0, 0
237, nullscape:dragon_skeleton, HEADING, header:ignore, 0, 0, 0
238, environmental:log_cabin, HEADING, header:ignore, 0, 0, 0
239, terralith:glacial_hut, HEADING, header:ignore, 0, 0, 0
240, meadow:logging_camp, HEADING, header:ignore, 0, 0, 0
241, meadow:logging_camp, CREATURE, minecraft:pig, 1, 1, 4
242, integrated_stronghold:stronghold, HEADING, header:ignore, 0, 0, 0
243, integrated_stronghold:stronghold, MONSTER, minecraft:silverfish, 1, 1, 3
244, integrated_stronghold:stronghold, MONSTER, minecraft:enderman, 1, 1, 1
245, terralith:underground/oak_cabin, HEADING, header:ignore, 0, 0, 0
246, terralith:underground/giant_bee_hive, HEADING, header:ignore, 0, 0, 0
247, terralith:underground/mining_outpost, HEADING, header:ignore, 0, 0, 0
248, terralith:underground/old_refinery, HEADING, header:ignore, 0, 0, 0
249, terralith:underground/sunken_tower, HEADING, header:ignore, 0, 0, 0
250, terralith:underground/witch_hut, HEADING, header:ignore, 0, 0, 0
251, idas:ancient_mines, HEADING, header:ignore, 0, 0, 0
252, idas:ancient_mines, MONSTER, minecraft:silverfish, 1, 1, 1
253, idas:ancient_mines, MONSTER, quark:wraith, 1, 1, 1
254, hexerei:dark_coven, HEADING, header:ignore, 0, 0, 0
255, terralith:spire, HEADING, header:ignore, 0, 0, 0
256, explorify:supply_cache/birch, HEADING, header:ignore, 0, 0, 0
257, explorify:supply_cache/dark, HEADING, header:ignore, 0, 0, 0
258, explorify:supply_cache/desert, HEADING, header:ignore, 0, 0, 0
259, explorify:supply_cache/forest, HEADING, header:ignore, 0, 0, 0
260, explorify:supply_cache/jungle, HEADING, header:ignore, 0, 0, 0
261, explorify:supply_cache/mangrove, HEADING, header:ignore, 0, 0, 0
262, explorify:supply_cache/taiga, HEADING, header:ignore, 0, 0, 0
263, explorify:tavern, HEADING, header:ignore, 0, 0, 0
264, meadow:bench, HEADING, header:ignore, 0, 0, 0
265, meadow:bench, CREATURE, minecraft:pig, 1, 1, 4
266, totw_reworked:ocean, HEADING, header:ignore, 0, 0, 0
267, explorify:watchtower/plains, HEADING, header:ignore, 0, 0, 0
268, explorify:watchtower/taiga, HEADING, header:ignore, 0, 0, 0
269, explorify:watchtower/savanna, HEADING, header:ignore, 0, 0, 0
270, explorify:badlands_pyramid, HEADING, header:ignore, 0, 0, 0
271, incendium:quartz_kitchen, HEADING, header:ignore, 0, 0, 0
272, incendium:abandoned_tower, HEADING, header:ignore, 0, 0, 0
273, incendium:pipeline, HEADING, header:ignore, 0, 0, 0
274, incendium:piglin_village, HEADING, header:ignore, 0, 0, 0
275, incendium:infernal_altar, HEADING, header:ignore, 0, 0, 0
276, incendium:ruined_lab, HEADING, header:ignore, 0, 0, 0
277, biomemakeover:sunken_ruin, HEADING, header:ignore, 0, 0, 0
278, totw_reworked:regular, HEADING, header:ignore, 0, 0, 0
279, beautify:botanist_house_desert, HEADING, header:ignore, 0, 0, 0
280, idas:abandonedhouse, HEADING, header:ignore, 0, 0, 0
281, idas:bearclaw_inn, HEADING, header:ignore, 0, 0, 0
282, idas:hermits_hollow, HEADING, header:ignore, 0, 0, 0
283, idas:hunters_cabin, HEADING, header:ignore, 0, 0, 0
284, idas:castle, HEADING, header:ignore, 0, 0, 0
285, idas:brickhouse, HEADING, header:ignore, 0, 0, 0
286, idas:enchantingtower, HEADING, header:ignore, 0, 0, 0
287, idas:wizard_tower, HEADING, header:ignore, 0, 0, 0
288, idas:redhorn_guild, HEADING, header:ignore, 0, 0, 0
289, idas:beekeepers_house, HEADING, header:ignore, 0, 0, 0
290, idas:farmhouse, HEADING, header:ignore, 0, 0, 0
291, idas:witches_treestump, HEADING, header:ignore, 0, 0, 0
292, idas:witches_treestump, MONSTER, minecraft:witch, 1, 1, 1
293, idas:witches_treestump, CREATURE, minecraft:cat, 1, 1, 1
294, idas:fishermans_lodge, HEADING, header:ignore, 0, 0, 0
295, bakery:oat_field, HEADING, header:ignore, 0, 0, 0
296, bakery:oat_field, CREATURE, minecraft:pig, 1, 1, 4
297, idas:haunted_manor, HEADING, header:ignore, 0, 0, 0
298, idas:haunted_manor, MONSTER, quark:wraith, 3, 3, 4
299, idas:winter_wagon, HEADING, header:ignore, 0, 0, 0
300, idas:apothecary_abode, HEADING, header:ignore, 0, 0, 0
301, idas:treetop_tavern, HEADING, header:ignore, 0, 0, 0
302, meadow:observation_post, HEADING, header:ignore, 0, 0, 0
303, meadow:observation_post, CREATURE, minecraft:pig, 1, 1, 4
304, friendsandfoes:illusioner_shack, HEADING, header:ignore, 0, 0, 0
305, friendsandfoes:illusioner_shack, MONSTER, minecraft:illusioner, 1, 1, 1
306, beautify:botanist_house_savanna, HEADING, header:ignore, 0, 0, 0
307, betterdungeons:skeleton_dungeon, HEADING, header:ignore, 0, 0, 0
308, betterdungeons:skeleton_dungeon, MONSTER, minecraft:skeleton, 30, 4, 12
309, friendsandfoes:citadel, HEADING, header:ignore, 0, 0, 0
310, friendsandfoes:citadel, MONSTER, minecraft:blaze, 1, 1, 2
311, betterdungeons:spider_dungeon, HEADING, header:ignore, 0, 0, 0
312, betterdungeons:spider_dungeon, MONSTER, minecraft:spider, 30, 4, 12
313, betterdungeons:spider_dungeon, MONSTER, minecraft:cave_spider, 30, 4, 8
314, ctov:large/village_beach, HEADING, header:ignore, 0, 0, 0
315, ctov:large/village_beach, CREATURE, mythicmounts:firebird, 10, 1, 1
316, ctov:large/village_dark_forest, HEADING, header:ignore, 0, 0, 0
317, ctov:large/village_dark_forest, CREATURE, mythicmounts:firebird, 10, 1, 1
318, ctov:large/village_jungle, HEADING, header:ignore, 0, 0, 0
319, ctov:large/village_jungle, CREATURE, mythicmounts:firebird, 10, 1, 1
320, ctov:large/village_mesa, HEADING, header:ignore, 0, 0, 0
321, ctov:large/village_mesa, CREATURE, mythicmounts:firebird, 10, 1, 1
322, ctov:large/village_mountain, HEADING, header:ignore, 0, 0, 0
323, ctov:large/village_mountain, CREATURE, mythicmounts:firebird, 10, 1, 1
324, ctov:large/village_mushroom, HEADING, header:ignore, 0, 0, 0
325, ctov:large/village_mushroom, CREATURE, mythicmounts:firebird, 10, 1, 1
326, ctov:large/village_swamp, HEADING, header:ignore, 0, 0, 0
327, ctov:large/village_swamp, CREATURE, mythicmounts:firebird, 10, 1, 1
328, ctov:large/village_desert, HEADING, header:ignore, 0, 0, 0
329, ctov:large/village_desert, CREATURE, mythicmounts:firebird, 10, 1, 1
330, ctov:large/village_plains, HEADING, header:ignore, 0, 0, 0
331, ctov:large/village_plains, CREATURE, mythicmounts:firebird, 10, 1, 1
332, ctov:large/village_savanna, HEADING, header:ignore, 0, 0, 0
333, ctov:large/village_savanna, CREATURE, mythicmounts:firebird, 10, 1, 1
334, ctov:large/village_snowy, HEADING, header:ignore, 0, 0, 0
335, ctov:large/village_snowy, CREATURE, mythicmounts:firebird, 10, 1, 1
336, ctov:large/village_taiga, HEADING, header:ignore, 0, 0, 0
337, ctov:large/village_taiga, CREATURE, mythicmounts:firebird, 10, 1, 1
338, ctov:medium/village_beach, HEADING, header:ignore, 0, 0, 0
339, ctov:medium/village_beach, CREATURE, mythicmounts:firebird, 10, 1, 1
340, ctov:medium/village_dark_forest, HEADING, header:ignore, 0, 0, 0
341, ctov:medium/village_dark_forest, CREATURE, mythicmounts:firebird, 10, 1, 1
342, ctov:medium/village_jungle, HEADING, header:ignore, 0, 0, 0
343, ctov:medium/village_jungle, CREATURE, mythicmounts:firebird, 10, 1, 1
344, ctov:medium/village_mesa, HEADING, header:ignore, 0, 0, 0
345, ctov:medium/village_mesa, CREATURE, mythicmounts:firebird, 10, 1, 1
346, ctov:medium/village_mountain, HEADING, header:ignore, 0, 0, 0
347, ctov:medium/village_mountain, CREATURE, mythicmounts:firebird, 10, 1, 1
348, ctov:medium/village_mushroom, HEADING, header:ignore, 0, 0, 0
349, ctov:medium/village_mushroom, CREATURE, mythicmounts:firebird, 10, 1, 1
350, ctov:medium/village_swamp, HEADING, header:ignore, 0, 0, 0
351, ctov:medium/village_swamp, CREATURE, mythicmounts:firebird, 10, 1, 1
352, ctov:medium/village_desert, HEADING, header:ignore, 0, 0, 0
353, ctov:medium/village_desert, CREATURE, mythicmounts:firebird, 10, 1, 1
354, ctov:medium/village_plains, HEADING, header:ignore, 0, 0, 0
355, ctov:medium/village_plains, CREATURE, mythicmounts:firebird, 10, 1, 1
356, ctov:medium/village_savanna, HEADING, header:ignore, 0, 0, 0
357, ctov:medium/village_savanna, CREATURE, mythicmounts:firebird, 10, 1, 1
358, ctov:medium/village_snowy, HEADING, header:ignore, 0, 0, 0
359, ctov:medium/village_snowy, CREATURE, mythicmounts:firebird, 10, 1, 1
360, ctov:medium/village_taiga, HEADING, header:ignore, 0, 0, 0
361, ctov:medium/village_taiga, CREATURE, mythicmounts:firebird, 10, 1, 1
362, ctov:small/village_beach, HEADING, header:ignore, 0, 0, 0
363, ctov:small/village_beach, CREATURE, mythicmounts:firebird, 10, 1, 1
364, ctov:small/village_dark_forest, HEADING, header:ignore, 0, 0, 0
365, ctov:small/village_dark_forest, CREATURE, mythicmounts:firebird, 10, 1, 1
366, ctov:small/village_jungle, HEADING, header:ignore, 0, 0, 0
367, ctov:small/village_jungle, CREATURE, mythicmounts:firebird, 10, 1, 1
368, ctov:small/village_mesa, HEADING, header:ignore, 0, 0, 0
369, ctov:small/village_mesa, CREATURE, mythicmounts:firebird, 10, 1, 1
370, ctov:small/village_mountain, HEADING, header:ignore, 0, 0, 0
371, ctov:small/village_mountain, CREATURE, mythicmounts:firebird, 10, 1, 1
372, ctov:small/village_mushroom, HEADING, header:ignore, 0, 0, 0
373, ctov:small/village_mushroom, CREATURE, mythicmounts:firebird, 10, 1, 1
374, ctov:small/village_swamp, HEADING, header:ignore, 0, 0, 0
375, ctov:small/village_swamp, CREATURE, mythicmounts:firebird, 10, 1, 1
376, ctov:small/village_desert, HEADING, header:ignore, 0, 0, 0
377, ctov:small/village_desert, CREATURE, mythicmounts:firebird, 10, 1, 1
